Symbol,CIK,Title
aacg,1420529,ATA Creativity Global
abat,1576873,AMERICAN BATTERY TECHNOLOGY Co
abcm,1492074,Abcam plc
abl,1814287,"Abacus Life, Inc."
ablv,1957489,Able View Global Inc.
acax,1897245,Alset Capital Acquisition Corp.
acb,1683541,AURORA CANNABIS INC
acba,1844389,Ace Global Business Acquisition Ltd
acdc,1881487,ProFrac Holding Corp.
achl,1830749,Achilles Therapeutics plc
acic,1401521,AMERICAN COASTAL INSURANCE Corp
aciu,1651625,AC Immune SA
aclx,1786205,"Arcellx, Inc."
acon,1635077,"Aclarion, Inc."
acrv,1781174,"Acrivon Therapeutics, Inc."
adag,1818838,Adagene Inc.
add,1747661,"Color Star Technology Co., Ltd."
adea,1803696,Adeia Inc.
adoc,1824884,Edoc Acquisition Corp.
adse,1879248,Ads-Tec Energy Public Ltd Co
adxn,1574232,Addex Therapeutics Ltd.
aehl,1470683,Antelope Enterprise Holdings Ltd
aent,1823584,ALLIANCE ENTERTAINMENT HOLDING CORP
aezs,1113423,Aeterna Zentaris Inc.
afmd,1608390,Affimed N.V.
afri,1903870,Forafric Global PLC
afya,1771007,Afya Ltd
agae,1708341,Allied Gaming & Entertainment Inc.
agba,1769624,AGBA Group Holding Ltd.
agmh,1705402,"AGM GROUP HOLDINGS, INC."
ahg,1702318,Akso Health Group
ahi,1815436,Advanced Health Intelligence Ltd
aih,1757143,Aesthetic Medical International Holdings Group Ltd
aimd,1014763,"Ainos, Inc."
aixi,1935172,Xiao-I Corp
akan,1888014,AKANDA CORP.
akli,1850266,"Akili, Inc."
aktx,1541157,Akari Therapeutics Plc
aku,1776197,AKUMIN INC.
alar,1725332,Alarum Technologies Ltd.
albt,1630212,Avalon GloboCare Corp.
allt,1365767,Allot Ltd.
alnt,46129,ALLIENT INC
alti,1838615,"AlTi Global, Inc."
alvo,1898416,Alvotech
alya,1734520,Alithya Group inc
alzn,1677077,"Alzamend Neuro, Inc."
amam,1836056,Ambrx Biopharma Inc.
amao,1843656,American Acquisition Opportunity Inc.
amli,1699880,American Lithium Corp.
angh,1871983,Anghami Inc
ante,1413745,AIRNET TECHNOLOGY INC.
antx,1880438,"AN2 Therapeutics, Inc."
any,1591956,Sphere 3D Corp.
aogo,1881741,Arogo Capital Acquisition Corp.
aonc,1839998,"American Oncology Network, Inc."
apge,1974640,"Apogee Therapeutics, Inc."
api,1802883,"Agora, Inc."
apm,1734005,Aptorum Group Ltd
aptm,1845550,Alpha Partners Technology Merger Corp.
apwc,1026980,ASIA PACIFIC WIRE & CABLE CORP LTD
arbb,1930179,ARB IOT Group Ltd
arbe,1861841,Arbe Robotics Ltd.
arbk,1841675,Argo Blockchain Plc
arce,1740594,Arco Platform Ltd.
areb,1648087,AMERICAN REBEL HOLDINGS INC
argx,1697862,ARGENX SE
arm,1973239,ARM HOLDINGS PLC /UK
arqq,1859690,Arqit Quantum Inc.
artl,1621221,"ARTELO BIOSCIENCES, INC."
artna,863110,ARTESIAN RESOURCES CORP
arvl,1835059,Arrival
aryd,1838821,ARYA Sciences Acquisition Corp IV
asln,1722926,ASLAN Pharmaceuticals Ltd
asml,937966,ASML HOLDING NV
asnd,1612042,Ascendis Pharma A/S
asns,1141284,ACTELIS NETWORKS INC
aspa,1854583,"Abri SPAC I, Inc."
aspi,1921865,ASP Isotopes Inc.
asst,1920406,Asset Entities Inc.
asti,1350102,"Ascent Solar Technologies, Inc."
astl,1860805,Algoma Steel Group Inc.
atat,1853717,Atour Lifestyle Holdings Ltd
atcol,1794846,Atlas Corp.
atha,1620463,"Athira Pharma, Inc."
athe,1131343,ALTERITY THERAPEUTICS LTD
atif,1755058,ATIF Holdings Ltd
atlx,1540684,Atlas Lithium Corp
atxg,1650101,ADDENTAX GROUP CORP.
audc,1086434,AUDIOCODES LTD
autl,1730463,Autolus Therapeutics plc
avta,1068875,"AVANTAX, INC."
awin,1855631,AERWINS Technologies Inc.
ay,1601072,Atlantica Sustainable Infrastructure plc
az,1866030,A2Z Smart Technologies Corp
azn,901832,ASTRAZENECA PLC
back,1729944,"IMAC Holdings, Inc."
banl,1914805,CBL International Ltd
baos,1811216,Baosheng Media Group Holdings Ltd
batra,1958140,"Atlanta Braves Holdings, Inc."
bcal,1795815,Southern California Bancorp \ CA
bcan,1888151,BYND CANNASOFT ENTERPRISES INC.
bctx,1610820,BriaCell Therapeutics Corp.
bdrx,1643918,Biodexa Pharmaceuticals Plc
betr,1835856,Better Home & Finance Holding Co
bets,1543268,Bit Brother Ltd
bfrg,1829247,"BullFrog AI Holdings, Inc."
bgc,1094831,"BGC Group, Inc."
bglc,1737523,BioNexus Gene Lab Corp
bhat,1759136,Blue Hat Interactive Entertainment Technology
bhrb,1964333,Burke & Herbert Financial Services Corp.
biaf,1712762,"bioAffinity Technologies, Inc."
bidu,1329099,"Baidu, Inc."
bili,1723690,Bilibili Inc.
biox,1769484,Bioceres Crop Solutions Corp.
bitf,1812477,Bitfarms Ltd
bldp,1453015,Ballard Power Systems Inc.
blrx,1498403,BioLineRx Ltd.
blte,1889109,"BELITE BIO, INC"
bmr,1899005,Beamr Imaging Ltd.
bnmv,1437491,"BitNile Metaverse, Inc."
bnox,1191070,BIONOMICS LIMITED/FI
bnr,1792267,Burning Rock Biotech Ltd
bnrg,1901215,Brenmiller Energy Ltd.
bntx,1776985,BioNTech SE
bof,1962481,BranchOut Food Inc.
bon,1816815,Bon Natural Life Ltd
bosc,1005516,BOS BETTER ONLINE SOLUTIONS LTD
bown,1973056,Bowen Acquisition Corp
bprn,1913971,"Princeton Bancorp, Inc."
bpts,1768946,Biophytis SA
bpypm,1545772,Brookfield Property Partners L.P.
brag,1867834,Bragg Gaming Group Inc.
brea,1939965,Brera Holdings PLC
brog,1774983,Brooge Energy Ltd
brqs,1650575,"Borqs Technologies, Inc."
brsh,1913210,Bruush Oral Care Inc.
btbt,1710350,"Bit Digital, Inc"
btcy,1630113,BIOTRICITY INC.
btdr,1899123,Bitdeer Technologies Group
btm,1901799,Bitcoin Depot Inc.
btmd,1819253,biote Corp.
btog,1735556,BIT ORIGIN Ltd
bvfl,1302387,"BV Financial, Inc."
bway,1505065,Brainsway Ltd.
bwmx,1788257,"BETTERWARE DE MEXICO, S.A.P.I. DE C.V"
bysi,1677940,BeyondSpring Inc.
bz,1842827,Kanzhun Ltd
bzun,1625414,Baozun Inc.
caco,1928948,Caravelle International Group
calc,1534133,"CalciMedica, Inc."
calt,1795579,Calliditas Therapeutics AB
camt,1109138,CAMTEK LTD
can,1780652,Canaan Inc.
carm,1485003,Carisma Therapeutics Inc.
cart,1579091,Maplebear Inc.
casi,1962738,"CASI Pharmaceuticals, Inc."
cbio,1124105,"CATALYST BIOSCIENCES, INC."
cbus,1705843,"Cibus, Inc."
ccep,1650107,COCA-COLA EUROPACIFIC PARTNERS plc
ccg,1965473,Cheche Group Inc.
ccld,1582982,"CareCloud, Inc."
cclp,1449488,CSI Compressco LP
cd,1807192,Chindata Group Holdings Ltd
cdio,1870144,"Cardio Diagnostics Holdings, Inc."
cdro,1866782,"Codere Online Luxembourg, S.A."
ceco,3197,CECO ENVIRONMENTAL CORP
ceg,1868275,Constellation Energy Corp
cell,1689657,PhenomeX Inc.
cenn,1707919,CENNTRO ELECTRIC GROUP Ltd
cety,1329606,"Clean Energy Technologies, Inc."
cffe,1839530,CF Acquisition Corp. VIII
cfsb,1879103,"CFSB Bancorp, Inc. /MA/"
cgen,1119774,COMPUGEN LTD
cgnt,1824814,Cognyte Software Ltd.
cgo,1285650,CALAMOS GLOBAL TOTAL RETURN FUND
chek,1610590,Check-Cap Ltd
chi,1171471,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND
chkp,1015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD
chnr,793628,CHINA NATURAL RESOURCES INC
chscl,823277,CHS INC
chsn,1825349,Chanson International Holding
chw,1396277,Calamos Global Dynamic Income Fund
